TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,StoreName,GroupStore,Type,Latitude,Longitude,Product Name,Age,Gender,Marital Status,Income,Day,Month,Year
TR41572,366,2022-01-06,P6,18000,3,54000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Cashew,18,0,Single,0,6,1,2022
TR45142,438,2022-01-06,P10,15000,4,60000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Cheese Stick,36,1,Single,"5,43",6,1,2022
TR73860,71,2022-01-06,P4,12000,4,48000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Potato Chip,46,0,Married,"12,42",6,1,2022
TR74469,340,2022-01-06,P5,4200,4,16800,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Thai Tea,41,0,Single,"10,9",6,1,2022
TR77963,116,2022-01-06,P3,7500,2,15000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Crackers,51,1,Married,"15,77",6,1,2022
TR81478,20,2022-01-06,P5,4200,4,16800,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Thai Tea,43,0,Married,"18,91",6,1,2022
TR83042,102,2022-01-06,P2,3200,6,19200,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Ginger Candy ,39,0,Married,"6,44",6,1,2022
TR87914,161,2022-01-06,P5,4200,4,16800,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Thai Tea,41,0,Married,"20,02",6,1,2022
TR92298,266,2022-01-06,P2,3200,6,19200,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Ginger Candy ,72,1,Married,"4,72",6,1,2022
TR95272,84,2022-01-06,P7,9400,3,28200,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Coffee Candy,54,0,Married,"18,12",6,1,2022
TR96723,240,2022-01-06,P5,4200,4,16800,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea,22,1,Single,"3,33",6,1,2022
TR97562,264,2022-01-06,P5,4200,3,12600,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea,21,1,Single,"1,12",6,1,2022
TR22660,43,2022-01-07,P5,4200,3,12600,13,Buana,Buana,General Trade,"-1,26916","116,825264",Thai Tea,53,0,Married,"16,64",7,1,2022
TR23169,189,2022-01-07,P1,8800,7,61600,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Choco Bar,59,1,Single,"5,15",7,1,2022
TR28506,230,2022-01-07,P9,10000,3,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Yoghurt,40,1,Married,"4,32",7,1,2022
TR31932,70,2022-01-07,P9,10000,4,40000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Yoghurt,30,1,Married,"4,42",7,1,2022
TR38873,311,2022-01-07,P2,3200,6,19200,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Ginger Candy ,61,1,Married,"7,64",7,1,2022
TR43744,233,2022-01-07,P2,3200,6,19200,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Ginger Candy ,43,1,Married,"5,69",7,1,2022
TR60853,74,2022-01-07,P2,3200,3,9600,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Ginger Candy ,3,1,Single,"5,09",7,1,2022
TR73336,399,2022-01-07,P8,16000,3,48000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Oat,52,1,Single,"33,77",7,1,2022
TR74427,43,2022-01-07,P8,16000,2,32000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Oat,53,0,Married,"16,64",7,1,2022
TR23772,156,2022-01-08,P10,15000,1,15000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Cheese Stick,44,0,Married,"3,87",8,1,2022
TR36287,157,2022-01-08,P7,9400,2,18800,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Coffee Candy,44,0,Single,"2,52",8,1,2022
TR40790,134,2022-01-08,P7,9400,4,37600,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Coffee Candy,50,0,Married,"18,62",8,1,2022
TR4331,335,2022-01-08,P3,7500,3,22500,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Crackers,29,1,Single,"4,74",8,1,2022
TR43444,240,2022-01-08,P4,12000,5,60000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Potato Chip,22,1,Single,"3,33",8,1,2022
TR55617,9,2022-01-08,P7,9400,5,47000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Coffee Candy,33,0,Married,"9,92",8,1,2022
TR57273,344,2022-01-08,P4,12000,1,12000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Potato Chip,47,1,Married,"5,63",8,1,2022
TR648,164,2022-01-08,P5,4200,3,12600,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Thai Tea,18,1,Single,0,8,1,2022
TR65337,12,2022-01-08,P5,4200,3,12600,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Thai Tea,2,1,Single,"4,94",8,1,2022
TR6602,211,2022-01-08,P8,16000,2,32000,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Oat,29,0,Married,"3,54",8,1,2022
TR67501,85,2022-01-08,P4,12000,3,36000,13,Buana,Buana,General Trade,"-1,26916","116,825264",Potato Chip,59,1,Married,"7,89",8,1,2022
TR70157,415,2022-01-08,P8,16000,2,32000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Oat,44,0,Married,"18,57",8,1,2022
TR84962,55,2022-01-08,P3,7500,5,37500,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Crackers,34,1,Married,"8,44",8,1,2022
TR89167,69,2022-01-08,P1,8800,5,44000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Choco Bar,26,0,Single,"2,84",8,1,2022
TR90471,162,2022-01-08,P3,7500,3,22500,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Crackers,49,0,Married,"11,46",8,1,2022
TR14091,307,2022-01-09,P1,8800,5,44000,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Choco Bar,31,0,Married,"5,22",9,1,2022
TR28270,140,2022-01-09,P2,3200,7,22400,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Ginger Candy ,54,0,Married,"9,57",9,1,2022
TR48974,170,2022-01-09,P10,15000,1,15000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Cheese Stick,36,0,Married,"7,55",9,1,2022
TR52493,354,2022-01-09,P8,16000,1,16000,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Oat,53,1,Married,"16,94",9,1,2022
TR52613,135,2022-01-09,P5,4200,3,12600,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Thai Tea,41,0,Married,"3,28",9,1,2022
TR53447,137,2022-01-09,P2,3200,4,12800,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Ginger Candy ,34,1,Married,"6,36",9,1,2022
TR5513,62,2022-01-09,P4,12000,4,48000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Potato Chip,51,1,Married,"13,62",9,1,2022
TR76965,241,2022-01-09,P1,8800,8,70400,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Choco Bar,24,1,Single,"0,57",9,1,2022
TR80326,269,2022-01-09,P8,16000,1,16000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Oat,39,1,Married,"6,3",9,1,2022
TR858,340,2022-01-09,P8,16000,2,32000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Oat,41,0,Single,"10,9",9,1,2022
TR8878,415,2022-01-09,P5,4200,3,12600,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Thai Tea,44,0,Married,"18,57",9,1,2022
TR89449,178,2022-01-09,P5,4200,2,8400,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Thai Tea,43,0,Married,"9,58",9,1,2022
TR91332,385,2022-01-09,P9,10000,1,10000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Yoghurt,41,1,Married,"15,84",9,1,2022
TR91669,241,2022-01-09,P5,4200,5,21000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Thai Tea,24,1,Single,"0,57",9,1,2022
TR3291,13,2022-01-10,P4,12000,5,60000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Potato Chip,23,0,Single,"2,03",10,1,2022
TR45059,17,2022-01-10,P1,8800,6,52800,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Choco Bar,35,0,Married,"3,14",10,1,2022
TR47932,122,2022-01-10,P7,9400,3,28200,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Coffee Candy,26,1,Single,"0,14",10,1,2022
TR57616,446,2022-01-10,P1,8800,7,61600,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Choco Bar,57,0,Married,"7,81",10,1,2022
TR59952,321,2022-01-10,P4,12000,5,60000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Potato Chip,45,0,Married,"8,03",10,1,2022
TR6445,181,2022-01-10,P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Crackers,33,1,Married,"9,94",10,1,2022
TR69307,23,2022-01-10,P8,16000,1,16000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Oat,57,1,Married,"12,56",10,1,2022
TR69902,108,2022-01-10,P7,9400,2,18800,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Coffee Candy,25,0,Single,"6,87",10,1,2022
TR7250,49,2022-01-10,P1,8800,7,61600,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Choco Bar,44,1,Married,"13,48",10,1,2022
TR77811,329,2022-01-10,P10,15000,2,30000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Cheese Stick,19,1,Single,0,10,1,2022
TR80374,223,2022-01-10,P8,16000,3,48000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Oat,62,1,Single,"5,35",10,1,2022
TR82224,246,2022-01-10,P2,3200,3,9600,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Ginger Candy ,40,1,Single,"21,81",10,1,2022
TR8236,249,2022-01-10,P2,3200,6,19200,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Ginger Candy ,47,0,Married,"13,34",10,1,2022
TR8369,64,2022-01-10,P3,7500,1,7500,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Crackers,48,1,Married,"7,92",10,1,2022
TR86436,26,2022-01-10,P10,15000,1,15000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Cheese Stick,45,1,Married,"7,83",10,1,2022
TR88217,442,2022-01-10,P9,10000,1,10000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Yoghurt,42,1,Married,"14,88",10,1,2022
TR95284,229,2022-01-10,P2,3200,3,9600,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Ginger Candy ,32,0,Married,"10,17",10,1,2022
TR18566,8,2022-01-11,P3,7500,3,22500,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Crackers,37,1,Married,"5,49",11,1,2022
TR23232,168,2022-01-11,P2,3200,6,19200,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Ginger Candy ,27,0,Married,"4,88",11,1,2022
TR36166,256,2022-01-11,P10,15000,5,75000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Cheese Stick,56,0,Married,"7,09",11,1,2022
TR36685,196,2022-01-11,P2,3200,6,19200,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Ginger Candy ,34,0,Married,"3,17",11,1,2022
TR40960,394,2022-01-11,P6,18000,1,18000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Cashew,50,0,Married,"7,19",11,1,2022
TR47732,329,2022-01-11,P2,3200,6,19200,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Ginger Candy ,19,1,Single,0,11,1,2022
TR57918,72,2022-01-11,P4,12000,5,60000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Potato Chip,26,0,Single,"1,81",11,1,2022
TR59286,278,2022-01-11,P7,9400,6,56400,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Coffee Candy,31,1,Married,"9,76",11,1,2022
TR63021,393,2022-01-11,P8,16000,1,16000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Oat,22,0,Single,0,11,1,2022
TR64748,232,2022-01-11,P5,4200,4,16800,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Thai Tea,62,0,Married,"7,32",11,1,2022
TR6627,339,2022-01-11,P9,10000,6,60000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Yoghurt,22,0,Single,"2,19",11,1,2022
TR71791,295,2022-01-11,P7,9400,5,47000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Coffee Candy,34,0,Married,"4,78",11,1,2022
TR75052,151,2022-01-11,P3,7500,1,7500,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Crackers,42,0,Married,"10,38",11,1,2022
TR76046,16,2022-01-11,P8,16000,2,32000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Oat,52,0,Married,"11,8",11,1,2022
TR84499,312,2022-01-11,P3,7500,3,22500,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Crackers,54,0,Married,"18,77",11,1,2022
TR85582,145,2022-01-11,P5,4200,4,16800,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea,37,0,Single,"14,59",11,1,2022
TR93692,244,2022-01-11,P5,4200,5,21000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Thai Tea,21,1,Single,"3,64",11,1,2022
TR94450,213,2022-01-11,P3,7500,6,45000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Crackers,24,1,Single,"5,72",11,1,2022
